id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
0,0.4296,0.1642,0.3259,0.1956,0.1159,0.065,0.0388,0.0388,0.1701,0.1922
1,0.4719,0.1705,0.3034,0.3146,0.1794,0.1139,0.0644,0.0644,0.3024,0.2737
2,0.3223,0.0957,0.1991,0.1581,0.0813,0.0453,0.0161,0.0161,0.1404,0.1298
3,0.4286,0.1594,0.3,0.2857,0.1552,0.0838,0.0292,0.0292,0.2986,0.2346
4,0.4205,0.1658,0.3282,0.3147,0.193,0.1197,0.0633,0.0633,0.2635,0.1636
5,0.5492,0.2618,0.3523,0.4109,0.2465,0.1585,0.0932,0.0932,0.3674,0.3924
6,0.3654,0.068,0.2692,0.1693,0.0762,0.0343,0.013,0.013,0.1531,0.1607
7,0.5116,0.2578,0.3488,0.303,0.2031,0.1454,0.1125,0.1125,0.2585,0.2937
8,0.4848,0.1531,0.303,0.3045,0.1486,0.0933,0.0623,0.0623,0.212,0.324
9,0.386,0.1302,0.2339,0.2619,0.1123,0.0536,0.0209,0.0209,0.1725,0.2717
10,0.4946,0.1304,0.3118,0.3727,0.1929,0.1187,0.066,0.066,0.2449,0.253
11,0.4524,0.2169,0.2857,0.337,0.2018,0.1313,0.0844,0.0844,0.3374,0.2915
12,0.3167,0.1186,0.2333,0.1889,0.103,0.0622,0.0408,0.0408,0.389,0.2175
13,0.257,0.0486,0.1606,0.1149,0.0349,0.0087,0.0043,0.0043,0.1016,-0.1369
14,0.2995,0.0865,0.1818,0.1987,0.0756,0.0177,0.0086,0.0086,0.1297,-0.0373
15,0.5625,0.3053,0.375,0.5,0.3631,0.2737,0.2134,0.2134,0.418,0.3879
16,0.4886,0.2529,0.3182,0.3516,0.25,0.17,0.0865,0.0865,0.3737,0.4104
17,0.5563,0.3221,0.4238,0.3523,0.2381,0.1665,0.113,0.113,0.3744,0.3089
18,0.3182,0.0308,0.197,0.2235,0.073,0.0186,0.0094,0.0094,0.2408,0.1344
19,0.3886,0.1503,0.2743,0.2637,0.1106,0.066,0.0242,0.0242,0.2098,0.3438
20,0.4455,0.1927,0.3273,0.2619,0.1543,0.09,0.0488,0.0488,0.2416,0.3249
21,0.3333,0.1408,0.2222,0.2258,0.1486,0.1067,0.0798,0.0798,0.3425,0.2392
22,0.2327,0.0506,0.1384,0.0543,0.0185,0.009,0.0036,0.0036,0.0757,-0.0926
23,0.491,0.2182,0.3832,0.3258,0.1924,0.1367,0.1044,0.1044,0.3718,0.4494
24,0.426,0.1916,0.2959,0.3059,0.209,0.1545,0.1224,0.1224,0.2805,0.2179
25,0.3053,0.1085,0.2595,0.1899,0.0987,0.0632,0.0427,0.0427,0.2629,0.1507
26,0.4606,0.2699,0.3636,0.301,0.2104,0.1519,0.1151,0.1151,0.3893,0.2037
27,0.3121,0.1151,0.227,0.1648,0.0856,0.0548,0.037,0.037,0.2361,0.1357
28,0.2784,0.0833,0.1753,0.2027,0.089,0.0428,0.0167,0.0167,0.1368,-0.038
29,0.4422,0.1827,0.3417,0.3228,0.2084,0.1435,0.0967,0.0967,0.2867,0.2583
30,0.4784,0.1739,0.2824,0.2491,0.1463,0.0954,0.0625,0.0625,0.2172,0.325
31,0.3176,0.1156,0.1824,0.098,0.0493,0.0324,0.0231,0.0231,0.1292,0.131
32,0.3182,0.1101,0.2273,0.1611,0.0765,0.0524,0.0366,0.0366,0.1729,0.0997
33,0.3744,0.1475,0.2557,0.2309,0.1321,0.09,0.0627,0.0627,0.2428,0.1712
34,0.4359,0.1688,0.3333,0.3295,0.1741,0.1019,0.0594,0.0594,0.3222,0.3499
35,0.49,0.3482,0.4337,0.2207,0.1726,0.131,0.0963,0.0963,0.2542,0.4091
36,0.3643,0.125,0.2171,0.1831,0.0896,0.0341,0.0119,0.0119,0.1533,0.1809
37,0.4308,0.1554,0.3282,0.3018,0.1831,0.1163,0.0622,0.0622,0.2715,0.2793
38,0.5909,0.2299,0.3523,0.4036,0.2317,0.1187,0.0648,0.0648,0.3529,0.3203
39,0.4641,0.1788,0.2873,0.354,0.1991,0.1392,0.1055,0.1055,0.312,0.253
40,0.413,0.1648,0.2391,0.2857,0.1628,0.1034,0.0694,0.0694,0.2631,0.1747
41,0.4324,0.1858,0.2919,0.2639,0.0959,0.0221,0.0107,0.0107,0.2085,0.2093
42,0.3733,0.0897,0.2222,0.2307,0.0932,0.0405,0.015,0.015,0.186,0.111
43,0.3354,0.1019,0.2025,0.0824,0.0375,0.0183,0.006,0.006,0.1466,0.1677
